,id,created_at,user-screen_name,user-name,text,user-location,user-id,lang,user-lang,geo,coordinates,place,is_extended,is_retweet
0,1471744411583369216,Fri Dec 17 07:29:46 +0000 2021,AnenthanAni,Ani Anenthan,"Met a #Peter_parker from another universe! 🕸
#spidermannowayhome @ Scope Cinema Gold Class at CCC https://t.co/xb5LCmJ707",Sri Lanka,371331087,en,,"{'type': 'Point', 'coordinates': [6.9176001, 79.85552449]}","{'type': 'Point', 'coordinates': [79.85552449, 6.9176001]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
1,1463178810640248832,Tue Nov 23 16:13:07 +0000 2021,tharulovesyou,Tharu Ravinath ⚛️,"We do not remember days, we remember moments.. 💛

#friends #sunday #movies @ Scope Cinema Gold Class at CCC https://t.co/8OHBRqtgGk","Texas, USA",202030574,en,,"{'type': 'Point', 'coordinates': [6.9176001, 79.85552449]}","{'type': 'Point', 'coordinates': [79.85552449, 6.9176001]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
2,1357497153774628867,Fri Feb 05 01:11:57 +0000 2021,CeylonBy,SpiceLab by Ceylon,Mrs Kasthuri's visit to Spicelab stall at CAN market in CCC https://t.co/6NgeLgYKDy,,1347059377514057728,en,,,,"{'id': '07d9eae1c9883001', 'url': 'https://api.twitter.com/1.1/geo/id/07d9eae1c9883001.json', 'place_type': 'poi', 'name': 'Colombo City Center', 'full_name': 'Colombo City Center', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.855546, 6.917432], [79.855546, 6.917432], [79.855546, 6.917432], [79.855546, 6.917432]]]}, 'attributes': {}}",False,False
3,1299589613846028289,Sat Aug 29 06:08:03 +0000 2020,LIIN_SL,Lanka Impact Investing Network - LIIN,Visit Our Social Enterprises Natures Paper and Sena Eco at the CCC Pop Up Happening Today and Tomorrow… https://t.co/kDee7IOhjV,Sri Lanka,1009319645516447751,en,,,,"{'id': '07d9eae1c9883001', 'url': 'https://api.twitter.com/1.1/geo/id/07d9eae1c9883001.json', 'place_type': 'poi', 'name': 'Colombo City Center', 'full_name': 'Colombo City Center', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.855546, 6.917432], [79.855546, 6.917432], [79.855546, 6.917432], [79.855546, 6.917432]]]}, 'attributes': {}}",True,False
4,1209779331570061312,Wed Dec 25 10:14:03 +0000 2019,RotaractMora,Rotaract Mora,"Ceylon Safari team at CCC @ CCC Cancer Transit Home, Maharagama https://t.co/ahVLMKCDgH",University of Moratuwa,525532178,en,,"{'type': 'Point', 'coordinates': [6.83804979, 79.9197998]}","{'type': 'Point', 'coordinates': [79.9197998, 6.83804979]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
5,1205149324927213569,Thu Dec 12 15:36:04 +0000 2019,Chamara_CHANU,Chαмαяα Nυωαη 🇱🇰,"CCC X Mas Vibes
.
.
.
#christmas #christmastree #freetime😎 #කොළඹ_වටේ @ Colombo City Centre https://t.co/CriR2aMpUi","Galle, Sri Lanka",2449385774,es,,"{'type': 'Point', 'coordinates': [6.91766801, 79.85521424]}","{'type': 'Point', 'coordinates': [79.85521424, 6.91766801]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
6,1203081791566954496,Fri Dec 06 22:40:25 +0000 2019,Sachen_UL,Sachen Nanayakkara ✈️🇱🇰,#instagood #goodolddays❤️ #ccc #colombocitycentre #colombo @ Colombo City Centre https://t.co/Yae2EJRAIo,"Kandy, Sri Lanka",2323618484,it,,"{'type': 'Point', 'coordinates': [6.91709689, 79.85510767]}","{'type': 'Point', 'coordinates': [79.85510767, 6.91709689]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
7,1201437197880242179,Mon Dec 02 09:45:24 +0000 2019,imsaajith,Saajith Wahid,#christmasdecor #CCC @ Colombo City Centre https://t.co/gOtbsUYwjL,colombo,992418816,it,,"{'type': 'Point', 'coordinates': [6.91709689, 79.85510767]}","{'type': 'Point', 'coordinates': [79.85510767, 6.91709689]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
8,1192966511239061506,Sat Nov 09 00:45:55 +0000 2019,erangatennakoon,eranga tennakoon,In CCC less crowd compared to other Fridays. All in On Galle Face?,"Colombo, Sri Lanka",213306799,en,,,,"{'id': '07d9eae1c9883001', 'url': 'https://api.twitter.com/1.1/geo/id/07d9eae1c9883001.json', 'place_type': 'poi', 'name': 'Colombo City Center', 'full_name': 'Colombo City Center', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.855546, 6.917432], [79.855546, 6.917432], [79.855546, 6.917432], [79.855546, 6.917432]]]}, 'attributes': {}}",False,False
9,1189147678598295552,Tue Oct 29 11:51:14 +0000 2019,SaraniPerera1,Sarani Perera,"Beauty has so many forms, and I think the most beautiful thing is confidence and loving yourself.
.
.
.
.

.
.
.… https://t.co/lPhINmdh8A",Sri Lanka,1056802426295070720,en,,"{'type': 'Point', 'coordinates': [6.90009126, 79.85225224]}","{'type': 'Point', 'coordinates': [79.85225224, 6.90009126]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
