,id,created_at,user-screen_name,user-name,text,user-location,user-id,lang,user-lang,geo,coordinates,place,is_extended,is_retweet
0,1360634729352028163,Sat Feb 13 16:59:33 +0000 2021,Danushi_desilva,Danushi De Silva,"Evening walk....
#srilanka🇱🇰 #srilanka #diyathauyanapark #diyathauyana_baththaramulla #sunset #sunsetphotography @… https://t.co/UDFQkVvlnU","Newport Beach, CA",1021202042,in,,"{'type': 'Point', 'coordinates': [6.9179, 79.863]}","{'type': 'Point', 'coordinates': [79.863, 6.9179]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
1,1285401711331414017,Tue Jul 21 02:30:24 +0000 2020,asithaangammana,Asitha Angammana (Ange),"Diyatha after yesterday rain.
#DiyathaUyana #WalkingPath #WalkingTrack #lka #AfterRain #walkway https://t.co/buDkfD1YpQ",United Kingdom,1160631326,en,,,,"{'id': '07d9cee398c81001', 'url': 'https://api.twitter.com/1.1/geo/id/07d9cee398c81001.json', 'place_type': 'poi', 'name': 'Diyatha Uyana', 'full_name': 'Diyatha Uyana', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.910571, 6.903716], [79.910571, 6.903716], [79.910571, 6.903716], [79.910571, 6.903716]]]}, 'attributes': {}}",False,False
2,1271373011409461250,Fri Jun 12 09:25:21 +0000 2020,hkmusic421,Hakam Zuhoor,I love this park with the lights...#photography #photojournalism #PhotographyIsArt #srilanka #srilankan… https://t.co/4G6of4TLtG,Sri Lanka,1121656501184024578,en,,,,"{'id': '07d9cee398c81001', 'url': 'https://api.twitter.com/1.1/geo/id/07d9cee398c81001.json', 'place_type': 'poi', 'name': 'Diyatha Uyana', 'full_name': 'Diyatha Uyana', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.910571, 6.903716], [79.910571, 6.903716], [79.910571, 6.903716], [79.910571, 6.903716]]]}, 'attributes': {}}",True,False
3,1211919234076467201,Tue Dec 31 07:57:16 +0000 2019,Travel_to_long,Travel_to_Long_Distance,Diyatha Uyana @SriLankaPlan #srilanka #diyathauyana #pic #picture #instagood #instagram #likeforlikes… https://t.co/P3q1oYu4qu,Maldives,1099643783128305664,tr,,"{'type': 'Point', 'coordinates': [6.90429495, 79.91054246]}","{'type': 'Point', 'coordinates': [79.91054246, 6.90429495]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
4,1165984074147622912,Mon Aug 26 13:47:20 +0000 2019,chanaw7,🙏 Chanaka W.,#diyathastation #diyathauyana good to see the slow but steady progress #lka @ Diyatha Station https://t.co/bltZ4unEcN,colombo,202253789,en,,"{'type': 'Point', 'coordinates': [6.90746953, 79.91014752]}","{'type': 'Point', 'coordinates': [79.91014752, 6.90746953]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
5,1134814846514597888,Sat Jun 01 13:31:57 +0000 2019,SHEHANTHARUKA10,_k_y_z_e_,#diyathauyana_baththaramulla @ Battaramulla https://t.co/IQKGgZSaiO,"Kiyosu-shi, Aichi",716093927560904705,sv,,"{'type': 'Point', 'coordinates': [6.90521, 79.91554]}","{'type': 'Point', 'coordinates': [79.91554, 6.90521]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
6,1033309928817999872,Sat Aug 25 11:07:39 +0000 2018,Tharindurj11,Tharindu Madhushan,"#diyathauyana #mcdonalds #withbuddies❤️ #afterexam #freedom @ Diyatha Uyana, Battaramulla, Sri Lanka - Good Market https://t.co/GWiOWxeudX",,781382391722078208,tl,,"{'type': 'Point', 'coordinates': [6.90429495, 79.91054246]}","{'type': 'Point', 'coordinates': [79.91054246, 6.90429495]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
7,1026850924583702528,Tue Aug 07 15:21:53 +0000 2018,sankarajive,Sanka Benaragama,"දියත උයන 🌴🌳🌺🌼🐠🐛🐜🐥🌿
#diyathauyana #relax #fresh #calm @ Diyatha Uyana Park https://t.co/NaeEeowWrO","Pannipitiya,Sri Lanka",177616644,tl,,"{'type': 'Point', 'coordinates': [6.9, 79.9167]}","{'type': 'Point', 'coordinates': [79.9167, 6.9]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
8,1026847789815418880,Tue Aug 07 15:09:25 +0000 2018,sankarajive,Sanka Benaragama,"දියත උයන 🌴🌳🌺🌼🐠🐛🐜🐥🌿
#diyathauyana #relax #fresh #calm @ Diyatha Uyana Park https://t.co/cUfbqITgnN","Pannipitiya,Sri Lanka",177616644,tl,,"{'type': 'Point', 'coordinates': [6.9, 79.9167]}","{'type': 'Point', 'coordinates': [79.9167, 6.9]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
9,830470130995982336,Sat Feb 11 17:34:43 +0000 2017,RajithaAruna,Rajitha Arunajith,Unplanned outing is the best ♡♥ #SaturdayNight #DiyathaUyana #Friends #Unexpected #Reunion #Fun… https://t.co/Z4YinF252g,Sri Lanka,2602903130,en,,"{'type': 'Point', 'coordinates': [6.90419156, 79.91039348]}","{'type': 'Point', 'coordinates': [79.91039348, 6.90419156]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
