,id,created_at,user-screen_name,user-name,text,user-location,user-id,lang,user-lang,geo,coordinates,place,is_extended,is_retweet
0,812727403197804544,Sat Dec 24 18:31:27 +0000 2016,RosescBern,Bernadette,Merry Christmas 🎄 from Our Family to Yours @ Colombo Galleface Beach https://t.co/E34XDEHJgM,"Abu Dhabi, United Arab Emirate",3969268093,en,,"{'type': 'Point', 'coordinates': [6.92245795, 79.84563603]}","{'type': 'Point', 'coordinates': [79.84563603, 6.92245795]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
1,812704751091666944,Sat Dec 24 17:01:26 +0000 2016,Beast_Iru,Master ₛᵢₙₙₐ ᵥⱼ Fₐₙ Gᵢᵣₗ 💞💞,"#HighestChrismasTree Taller than me
:p :p @ Galleface https://t.co/uvbepif2vQ",Sri Lanka,1444140631,en,,"{'type': 'Point', 'coordinates': [6.9228354, 79.84530339]}","{'type': 'Point', 'coordinates': [79.84530339, 6.9228354]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
2,812671721526427648,Sat Dec 24 14:50:11 +0000 2016,EmpireDarthVade,Darth Vader,#colombo @ Colombo Galleface Beach https://t.co/iypYKvacsG,,54812962,en,,"{'type': 'Point', 'coordinates': [6.92245795, 79.84563603]}","{'type': 'Point', 'coordinates': [79.84563603, 6.92245795]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
3,812671421226881025,Sat Dec 24 14:49:00 +0000 2016,EmpireDarthVade,Darth Vader,#worldtallest #christmastree almost done @ Colombo Galleface Beach https://t.co/dfLixFAcAY,,54812962,en,,"{'type': 'Point', 'coordinates': [6.92245795, 79.84563603]}","{'type': 'Point', 'coordinates': [79.84563603, 6.92245795]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
4,812311333777637376,Fri Dec 23 14:58:08 +0000 2016,Sasanga1997,Sasanga Priyamantha,galleface #nght#out @ Galleface https://t.co/emetEVzrys,"Kitchener, Ontario",751948687882850304,en,,"{'type': 'Point', 'coordinates': [6.9228354, 79.84530339]}","{'type': 'Point', 'coordinates': [79.84530339, 6.9228354]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
5,812307171794972672,Fri Dec 23 14:41:36 +0000 2016,wxmahen,Mahen Samaranayake,Just posted a photo @ Colombo Galleface Beach https://t.co/Hmd0yIGado,Sri Lanka,212924351,en,,"{'type': 'Point', 'coordinates': [6.92245795, 79.84563603]}","{'type': 'Point', 'coordinates': [79.84563603, 6.92245795]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
6,812296036966404096,Fri Dec 23 13:57:21 +0000 2016,Young_Dimith,Dimith Chriffin,#tb 😎 @ Galleface https://t.co/RAgOwCXg9e,Negombo Sri Lanka ,1906945584,en,,"{'type': 'Point', 'coordinates': [6.9228354, 79.84530339]}","{'type': 'Point', 'coordinates': [79.84530339, 6.9228354]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
7,811623672985305090,Wed Dec 21 17:25:37 +0000 2016,EdwinRCunanan,Edwin Cunanan,#Galleface #Colombo #SriLanka #seetheworld #enjoyinglife #goodvibesonly #travelenthusiast 😊 @… https://t.co/2ESXgEO8yt,,174985836,und,,"{'type': 'Point', 'coordinates': [6.92245795, 79.84563603]}","{'type': 'Point', 'coordinates': [79.84563603, 6.92245795]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
8,810693387162681345,Mon Dec 19 03:49:00 +0000 2016,EdwinRCunanan,Edwin Cunanan,#Galleface #Colombo #SriLanka #seetheworld #explore #goodvibesonly 😉🇱🇰 @ Colombo Galleface Beach https://t.co/MlG18drQGN,,174985836,en,,"{'type': 'Point', 'coordinates': [6.92245795, 79.84563603]}","{'type': 'Point', 'coordinates': [79.84563603, 6.92245795]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
9,810692523559714816,Mon Dec 19 03:45:34 +0000 2016,EdwinRCunanan,Edwin Cunanan,#Galleface #Colombo #SriLanka #seetheworld #explore #goodvibesonly 😉🇱🇰 @ Colombo Galleface Beach https://t.co/CPD4vb9QJB,,174985836,en,,"{'type': 'Point', 'coordinates': [6.92245795, 79.84563603]}","{'type': 'Point', 'coordinates': [79.84563603, 6.92245795]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
