,id,created_at,user-screen_name,user-name,text,user-location,user-id,lang,user-lang,geo,coordinates,place,is_extended,is_retweet
0,1367480700761485312,Thu Mar 04 14:23:00 +0000 2021,jude_niro,Jude Niro Abeyeratne,"Roma

#SriLanka #Colombo #GalleFaceGreen #blackandwhite #panorama #multiframe #Fujifilm #XT1 #FujifilmME… https://t.co/HrHHn5XfCV",Sri Lanka,1911718790,en,,"{'type': 'Point', 'coordinates': [6.92655465, 79.84354734]}","{'type': 'Point', 'coordinates': [79.84354734, 6.92655465]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
1,1324946386299854849,Sat Nov 07 05:26:49 +0000 2020,jude_niro,Jude Niro Abeyeratne,"Purple Sunsets

#SriLanka #Colombo #GalleFaceGreen #Sunset #Fujifilm #XT1 #FujifilmME @ Galle Face Green https://t.co/eTHW8k1Fll",Sri Lanka,1911718790,en,,"{'type': 'Point', 'coordinates': [6.92655465, 79.84354734]}","{'type': 'Point', 'coordinates': [79.84354734, 6.92655465]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
2,1313065576282062848,Mon Oct 05 10:36:43 +0000 2020,jude_niro,Jude Niro Abeyeratne,"Dramatic Panoramic

#SriLanka #Colombo #GalleFaceGreen #Sunset #panorama #multiframe #Fujifilm #XT1 #FujifilmME @ G… https://t.co/DLdM5Iblj3",Sri Lanka,1911718790,en,,"{'type': 'Point', 'coordinates': [6.92655465, 79.84354734]}","{'type': 'Point', 'coordinates': [79.84354734, 6.92655465]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
3,1299773186100215808,Sat Aug 29 18:17:30 +0000 2020,Kannangaraa,Sayod Kannangara,අපේ අලුත්ම වඩේ business එක #gallefacegreen #streetfood #srilanka https://t.co/KpSkUtp3FP,"Colombo, Sri Lanka",181815799,si,,,,"{'id': '07d9ecb677081000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9ecb677081000.json', 'place_type': 'poi', 'name': 'Galle Face Green', 'full_name': 'Galle Face Green', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.844899, 6.923935], [79.844899, 6.923935], [79.844899, 6.923935], [79.844899, 6.923935]]]}, 'attributes': {}}",False,False
4,1292372333542486016,Sun Aug 09 08:09:10 +0000 2020,NipunaDK,Nipuna D Kekulawala,"🦐🦐🦐 #වඩේ
#gallefacegreen 
#srilanka @ Galle Face Green https://t.co/2hbW1WxMs7",Sri Lanka,719536763362893825,en,,"{'type': 'Point', 'coordinates': [6.92655465, 79.84354734]}","{'type': 'Point', 'coordinates': [79.84354734, 6.92655465]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
5,1259531086557786113,Sun May 10 17:09:46 +0000 2020,saksivarnan,Saksi™ (Media Professional),As You can see some parts in #GalleFaceGreen is seen greeny but there is some more spaces is left out—whereas let's… https://t.co/Bbuxg28nVx,"Colombo, SriLanka",166981201,en,,,,"{'id': '07d9ecb677081000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9ecb677081000.json', 'place_type': 'poi', 'name': 'Galle Face Green', 'full_name': 'Galle Face Green', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.844899, 6.923935], [79.844899, 6.923935], [79.844899, 6.923935], [79.844899, 6.923935]]]}, 'attributes': {}}",True,False
6,1253684569938812929,Fri Apr 24 13:57:48 +0000 2020,ifraz__,★Ifz★,#COVID #Curfew #GalleFaceGreen #SriLanka https://t.co/OkKCS9xx8P,Sri Lanka,1935991514,und,,,,"{'id': '07d9ecb677081000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9ecb677081000.json', 'place_type': 'poi', 'name': 'Galle Face Green', 'full_name': 'Galle Face Green', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.844899, 6.923935], [79.844899, 6.923935], [79.844899, 6.923935], [79.844899, 6.923935]]]}, 'attributes': {}}",False,False
7,1223273701371674625,Fri Jan 31 15:55:52 +0000 2020,dileshdias,Dilesh Dias,"Life 🌞
.
.
#srilanka #colombo #galleface #gallefacegreen #sunsets #streetfood #beautiful #photography… https://t.co/C51V6atT0y",Sri Lanka 🇱🇰,2228348700,en,,"{'type': 'Point', 'coordinates': [6.92655465, 79.84354734]}","{'type': 'Point', 'coordinates': [79.84354734, 6.92655465]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
8,1218590432533217280,Sat Jan 18 17:46:14 +0000 2020,dileshdias,Dilesh Dias,"☀️ 
.
.
#srilanka #colombo #galleface #gallefacegreen #sunsets #chasingsunsets #beautiful #eternity #photography… https://t.co/DIcxg370SM",Sri Lanka 🇱🇰,2228348700,en,,"{'type': 'Point', 'coordinates': [6.92655465, 79.84354734]}","{'type': 'Point', 'coordinates': [79.84354734, 6.92655465]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
9,1216454460584554496,Sun Jan 12 20:18:38 +0000 2020,Kay_DuL,Kasun DuLaRa (දුලාර),"The Gang 💪❣️
#bdayboy #sundaynight #gallefacegreen #bachelorparty #2020 @ Galle Face Green https://t.co/h2KkXyIbkl","Kalubowila, Dehiwala",183744549,en,,"{'type': 'Point', 'coordinates': [6.92655465, 79.84354734]}","{'type': 'Point', 'coordinates': [79.84354734, 6.92655465]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
