,id,created_at,user-screen_name,user-name,text,user-location,user-id,lang,user-lang,geo,coordinates,place,is_extended,is_retweet
0,1192261211255189506,Thu Nov 07 02:03:18 +0000 2019,kala_cw,Kala Weerawardana,"Th sky arts with the lotus tower standing tall 😊
.
.
.
.
.
.
.
.
.
.
.
.
. 
#nofilter #ColomboLotusTower… https://t.co/C5trOkufuD",,446020274,en,,"{'type': 'Point', 'coordinates': [6.9344, 79.8428]}","{'type': 'Point', 'coordinates': [79.8428, 6.9344]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
1,1180079531505242112,Fri Oct 04 11:17:39 +0000 2019,mr_fazaal,Fazaal Hammadhu,#lotustower #lotustowersrilanka #lotustowercolombo #skyscraper #discovercolombo #sunny #colombo #lka #srilanka @ Co… https://t.co/kZaxxEq4kd,London,240660577,in,,"{'type': 'Point', 'coordinates': [6.9179, 79.863]}","{'type': 'Point', 'coordinates': [79.863, 6.9179]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
2,1173609478803120129,Mon Sep 16 14:47:59 +0000 2019,yasiharan19,yasiharan rajagopal,Colombo lotus tower #lotustowersrilanka #lotustowercolombo🗼🗼 #srilankamyway @ Colombo Lotus Tower https://t.co/8WBj3JdI6T,srilanka,499631022,pl,,"{'type': 'Point', 'coordinates': [6.92698186, 79.85833769]}","{'type': 'Point', 'coordinates': [79.85833769, 6.92698186]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
3,1154388640912609281,Thu Jul 25 13:51:14 +0000 2019,kala_cw,Kala Weerawardana,"It brightens the dark sky 😊
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#lotustower #lotustowercolombo #lka #KCW #KCWphotography… https://t.co/5IUIHeMoxr",,446020274,en,,"{'type': 'Point', 'coordinates': [6.9179, 79.863]}","{'type': 'Point', 'coordinates': [79.863, 6.9179]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
4,1146069021797703687,Tue Jul 02 14:52:02 +0000 2019,kala_cw,Kala Weerawardana,"The mighty #LotusTower 😍

.
.
.
.
.
.
.
. 
.
.
.
.
.
.
#lotustowercolombo #lotustowersrilanka #lka #KCW #lightson… https://t.co/FMBneOl3UI",,446020274,et,,"{'type': 'Point', 'coordinates': [6.9344, 79.8428]}","{'type': 'Point', 'coordinates': [79.8428, 6.9344]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
5,1053657121802383363,Sat Oct 20 14:40:08 +0000 2018,ThingsToDoInSL,Things To Do In Sri Lanka,"Colombo, Sri Lanka ❤😍😎
.
.
📷 Beautiful capture by @nuwan_randika 
.
#colombo #colombonightlife #thingstodoincolombo… https://t.co/3bZmJbB9YS",Sri Lanka,919441603130826752,ro,,"{'type': 'Point', 'coordinates': [6.9179, 79.863]}","{'type': 'Point', 'coordinates': [79.863, 6.9179]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
6,1053123956864102414,Fri Oct 19 03:21:32 +0000 2018,ThingsToDoInSL,Things To Do In Sri Lanka,"Colombo Lotus Tower Was Lighted Up Last Night. 😍❤😍😲
.
.
#colombo #colombonightlife #thingstodoincolombo #lotustower… https://t.co/1EyawuXsj0",Sri Lanka,919441603130826752,en,,"{'type': 'Point', 'coordinates': [6.9179, 79.863]}","{'type': 'Point', 'coordinates': [79.863, 6.9179]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
7,1021056922630393857,Sun Jul 22 15:38:35 +0000 2018,pandulapbe,Pandula Eramudugolla,#lotustowersrilanka #lotustowercolombo #srilanka @ Hilton Colombo Residence https://t.co/m1a6g5Z14q,Sri Lanka,281179438,es,,"{'type': 'Point', 'coordinates': [6.9207185, 79.85655331]}","{'type': 'Point', 'coordinates': [79.85655331, 6.9207185]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
8,897803101280718848,Wed Aug 16 12:51:54 +0000 2017,cgr_aiya,Dhanushka Dissanayake,The view from the open lobby area of the #lotustowersrilanka #lotustowercolombo #lka… https://t.co/i8yk6dTQay,"Galle, Sri Lanka",89135964,en,,"{'type': 'Point', 'coordinates': [6.92697, 79.8583]}","{'type': 'Point', 'coordinates': [79.8583, 6.92697]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
9,844831543155601409,Thu Mar 23 08:41:50 +0000 2017,cgr_aiya,Dhanushka Dissanayake,The view from my office... #lotustowercolombo #ultair @ Maradana https://t.co/Urg8bMqgzT,"Galle, Sri Lanka",89135964,en,,"{'type': 'Point', 'coordinates': [6.92833333, 79.86416667]}","{'type': 'Point', 'coordinates': [79.86416667, 6.92833333]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
