,id,created_at,user-screen_name,user-name,text,user-location,user-id,lang,user-lang,geo,coordinates,place,is_extended,is_retweet
0,1468848332135034884,Thu Dec 09 07:41:46 +0000 2021,DeshanRandika,ƬΉΞ SЦPΞR PRΞDΛƬӨR,#PortCity #Gallface #Sea #Outdoors #ScenicsNature #Sky #Cloud #Rooftop #City https://t.co/MY7h9j6CUG https://t.co/JHfBFSU6qI,Sri Lanka,1323847560,und,,"{'type': 'Point', 'coordinates': [6.93915353, 79.84602368]}","{'type': 'Point', 'coordinates': [79.84602368, 6.93915353]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
1,1395771784230625283,Fri May 21 16:01:40 +0000 2021,PulathisiHerath,Pulathisi Herath,The first photo is @sajithpremadasa 's Manifesto. Take a look at statement 12. #sachithpremadasa would also approve… https://t.co/o7J1QqxJEK,"Colombo, Sri Lanka",1347542095607828481,en,,,,"{'id': '0952701a0ad50000', 'url': 'https://api.twitter.com/1.1/geo/id/0952701a0ad50000.json', 'place_type': 'poi', 'name': 'Ward 3 (Professorial Unit), DMH', 'full_name': 'Ward 3 (Professorial Unit), DMH', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.870368, 6.919536], [79.870368, 6.919536], [79.870368, 6.919536], [79.870368, 6.919536]]]}, 'attributes': {}}",True,False
2,1224392784746106882,Mon Feb 03 18:02:42 +0000 2020,roshan_amin,Roshan Amin (අමීන්),#portcity #srilankanavy @ One Galle Face https://t.co/Eyu6k71Zdz,Colombo,140935225,en,,"{'type': 'Point', 'coordinates': [6.92743491, 79.84480884]}","{'type': 'Point', 'coordinates': [79.84480884, 6.92743491]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
3,1218069286352236544,Fri Jan 17 07:15:23 +0000 2020,moozanna,Moo!,Progression in process #colomboportcity #portcity @ Port City Colombo https://t.co/tOmLmqzvfd,,62550725,it,,"{'type': 'Point', 'coordinates': [6.93462769, 79.84317183]}","{'type': 'Point', 'coordinates': [79.84317183, 6.93462769]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
4,1216293534225092608,Sun Jan 12 09:39:10 +0000 2020,erangatennakoon,eranga tennakoon,Future.... #view #viewfromthetop #city #cityview #hilton #hiltoncolombo #colombo #hotel #luxury #luxuryhotel… https://t.co/LhAFVK1Mty,"Colombo, Sri Lanka",213306799,es,,"{'type': 'Point', 'coordinates': [6.9322633, 79.84500647]}","{'type': 'Point', 'coordinates': [79.84500647, 6.9322633]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
5,1212337800705540098,Wed Jan 01 11:40:30 +0000 2020,Nazeeldk,Nazeeyl Irish,"Port City SunSet Sri Lanka !! 🇱🇰 
#portcity #PortCityColombo #wonderofasia #lka @ Galle Face Green https://t.co/1bbebTkZYM",Sri Lanka,564915021,en,,"{'type': 'Point', 'coordinates': [6.92655465, 79.84354734]}","{'type': 'Point', 'coordinates': [79.84354734, 6.92655465]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
6,1207714825205436417,Thu Dec 19 17:30:27 +0000 2019,chanaw7,🙏 Chanaka W.,#portcity #Colombo #Lka view from #kingsburryhotel @ The Kingsbury Hotel https://t.co/GXyuiRm9vc,colombo,202253789,en,,"{'type': 'Point', 'coordinates': [6.93283526, 79.84211662]}","{'type': 'Point', 'coordinates': [79.84211662, 6.93283526]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",False,False
7,1205328583566282753,Fri Dec 13 03:28:22 +0000 2019,Rvnsachi,Raveen | Sachi 🇱🇰,"Port city fireworks from Gallface.

Camera: Samsung Galaxy S10
Post production: Snapseed mobile

#portcity #Colombo… https://t.co/9eqPUxO8E5",Sri Lanka,2794288231,en,,,,"{'id': '07d9ecb677081000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9ecb677081000.json', 'place_type': 'poi', 'name': 'Galle Face Green', 'full_name': 'Galle Face Green', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.844899, 6.923935], [79.844899, 6.923935], [79.844899, 6.923935], [79.844899, 6.923935]]]}, 'attributes': {}}",True,False
8,1203298581865738240,Sat Dec 07 13:01:52 +0000 2019,saksivarnan,Saksi™ (Media Professional),"#PortCity model!
#lka #SriLanka #Colombo https://t.co/zokWh9KmG8","Colombo, SriLanka",166981201,ca,,,,"{'id': '07d9e35397c84000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e35397c84000.json', 'place_type': 'poi', 'name': 'Colombo Port City', 'full_name': 'Colombo Port City', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154]]]}, 'attributes': {}}",False,False
9,1184098888212459520,Tue Oct 15 13:29:09 +0000 2019,dharmawick,Dharmawick,"Was too pretty to ignore
#sunset in #colombo 🌅

#timelapse #shangrila #srilanka #portcity #watch #dharmawick #life… https://t.co/hvWN4DByIU",Sri Lanka,159116324,en,,"{'type': 'Point', 'coordinates': [6.92849305, 79.84423399]}","{'type': 'Point', 'coordinates': [79.84423399, 6.92849305]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}",True,False
