,id,created_at,user-screen_name,user-name,text,user-location,user-id,lang,user-lang,geo,coordinates,place,is_extended,is_retweet
0,1.40034E+18,Thu Jun 03 06:43:54 +0000 2021,AshanLK1,Ashan Prageeth Photography 🇱🇰,"Heavy Rain🌧
@LotusTowerCMB @ShangriLaCMB @bankofceylon_ Missing. Heavy Mist🌫
My location at @PortCityColombo https://t.co/gSuNesK2zl",Sri Lanka,3075064532,en,,,,"{'id': '07d9d66755083002', 'url': 'https://api.twitter.com/1.1/geo/id/07d9d66755083002.json', 'place_type': 'poi', 'name': 'Colombo Lighthouse', 'full_name': 'Colombo Lighthouse', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.840873, 6.936228], [79.840873, 6.936228], [79.840873, 6.936228], [79.840873, 6.936228]]]}, 'attributes': {}}",FALSE,FALSE
1,1.39563E+18,Fri May 21 06:37:47 +0000 2021,AshanLK1,Ashan Prageeth Photography 🇱🇰,#Malang #chalgharchalen Feeling Music 🎧 #QuarantineLife at @PortCityColombo https://t.co/zLtuRb8mqm,Sri Lanka,3075064532,en,,,,"{'id': '07d9d66755083002', 'url': 'https://api.twitter.com/1.1/geo/id/07d9d66755083002.json', 'place_type': 'poi', 'name': 'Colombo Lighthouse', 'full_name': 'Colombo Lighthouse', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.840873, 6.936228], [79.840873, 6.936228], [79.840873, 6.936228], [79.840873, 6.936228]]]}, 'attributes': {}}",FALSE,FALSE
2,1.39462E+18,Tue May 18 11:42:48 +0000 2021,AshanLK1,Ashan Prageeth Photography 🇱🇰,On the way to @PortCityColombo ❤️,Sri Lanka,3075064532,en,,,,"{'id': '07d9e35397c84000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e35397c84000.json', 'place_type': 'poi', 'name': 'Colombo Port City', 'full_name': 'Colombo Port City', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154]]]}, 'attributes': {}}",FALSE,FALSE
3,1.38327E+18,Sat Apr 17 03:49:03 +0000 2021,oliverinantwist,Shajeeth,"Iam no legal guru on the @PortCityColombo matter but what about the @LOLCOfficial MOU
 Feeling like a gimmick in that too",Colombo,1.25001E+18,en,,,,"{'id': '129fe993ead77001', 'url': 'https://api.twitter.com/1.1/geo/id/129fe993ead77001.json', 'place_type': 'poi', 'name': 'Mkb', 'full_name': 'Mkb', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.86449, 6.858592], [79.86449, 6.858592], [79.86449, 6.858592], [79.86449, 6.858592]]]}, 'attributes': {}}",FALSE,FALSE
4,1.28991E+18,Sun Aug 02 13:08:57 +0000 2020,oliverinantwist,Shajeeth,Going in full pace. @PortCityColombo closing in with the first foot bridge 💯💯 https://t.co/P0YEIW3YDz,Colombo,1.25001E+18,en,,,,"{'id': '07d9e35397c84000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e35397c84000.json', 'place_type': 'poi', 'name': 'Colombo Port City', 'full_name': 'Colombo Port City', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154]]]}, 'attributes': {}}",FALSE,FALSE
5,1.28303E+18,Tue Jul 14 13:41:01 +0000 2020,oliverinantwist,Shajeeth,Almost #reaping it #full. The first #fruit grown at @PortCityColombo 🍉🍉. The sight of seeing green 💚💚 https://t.co/NwqGuYxguS,Colombo,1.25001E+18,en,,,,"{'id': '07d9e35397c84000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e35397c84000.json', 'place_type': 'poi', 'name': 'Colombo Port City', 'full_name': 'Colombo Port City', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154]]]}, 'attributes': {}}",FALSE,FALSE
6,1.28303E+18,Tue Jul 14 13:30:38 +0000 2020,oliverinantwist,Shajeeth,With an insightful and informative session with the new appointees of the #SriLankan #Administrative #Service. A mu… https://t.co/LVlnzEnwhm,Colombo,1.25001E+18,en,,,,"{'id': '07d9e35397c84000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e35397c84000.json', 'place_type': 'poi', 'name': 'Colombo Port City', 'full_name': 'Colombo Port City', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154]]]}, 'attributes': {}}",TRUE,FALSE
7,1.27104E+18,Thu Jun 11 11:28:26 +0000 2020,oliverinantwist,Shajeeth,@PortCityColombo #resumes #construction https://t.co/VBqPCoRAzl,Colombo,1.25001E+18,und,,,,"{'id': '07d9e35397c84000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e35397c84000.json', 'place_type': 'poi', 'name': 'Colombo Port City', 'full_name': 'Colombo Port City', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154]]]}, 'attributes': {}}",FALSE,FALSE
8,1.27066E+18,Wed Jun 10 10:20:35 +0000 2020,oliverinantwist,Shajeeth,"#Riding it #clean and #green at #work 🤖🤖♥️♥️.

#worklife #Balanced thanks to @NinebotGlobal 🙏🙏. #ridemore… https://t.co/JKF1R3mWsL",Colombo,1.25001E+18,en,,,,"{'id': '07d9e35397c84000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e35397c84000.json', 'place_type': 'poi', 'name': 'Colombo Port City', 'full_name': 'Colombo Port City', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154]]]}, 'attributes': {}}",TRUE,FALSE
9,1.26961E+18,Sun Jun 07 12:22:38 +0000 2020,oliverinantwist,Shajeeth,2/ 2- #RestartingSriLanka #portcitycolombo #urban #cityplanning #urbandesign #greenbuilding #economy #smartcity… https://t.co/SA5IVFZBjR,Colombo,1.25001E+18,und,,,,"{'id': '07d9e35397c84000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9e35397c84000.json', 'place_type': 'poi', 'name': 'Colombo Port City', 'full_name': 'Colombo Port City', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154], [79.846024, 6.939154]]]}, 'attributes': {}}",TRUE,FALSE
